Site,Longitude(x),Latitude(y),BIO1_Annual_mean_temperature,BIO7_Temperature_annual_range,BIO12_Annual_precipitation,BIO17_Precipitation_of_driest_quarter,Albany_thicket,Coastal_belt,Desert,Forest,Fynbos,Nama_Karoo,Savanna,Succulent_Karoo,AB_Unmodified_largely_natural_river,C_Moderately_modified_river_condition,D_Largely_modified_river_condition,EF_Extremely_modified_river_condition,Z_River_condition_no_longer_intact,Human_population_density ,Sampling_effort 
1,29.38,-22.13,22.68,29.3,354,4,0,0,0,0,0,0,0.23,0,10379.95,15640.94,0,0,91.25,6.78,40
2,30.88,-22.13,23.44,24.67,487.5,10,0,0,0,0,0,0,0,0,11337.11,7051.14,0,8594.42,0,0.22,54
3,29.13,-22.38,21.91,28.4,350.75,6,0,0,0,0,0,0,0.96,0,7447.36,7015.4,0,0,0,0.91,22
4,30.13,-22.38,22.83,27.15,448,9.75,0,0,0,0,0,0,0.83,0,94.19,16006.57,10359.21,0,0,1.1,71
5,30.38,-22.38,23.07,25.55,434,7.75,0,0,0,0,0,0,0.6,0,3375.25,0,18949.15,0,36.57,5.47,15
6,30.63,-22.38,23.12,25.13,466.75,9,0,0,0,0,0,0,0.71,0,5344.03,0,10315.35,0,5786.51,4.63,36
8,31.13,-22.38,24.08,25.55,446.75,9,0,0,0,0,0,0,0.59,0,118.13,22260.37,0,0,0,0.18,20
9,31.38,-22.38,24.04,25.25,473.75,10.75,0,0,0,0,0,0,0.11,0,2302.85,1155.5,0,20804.84,0,11.5,62
10,28.13,-22.63,21.9,29.15,353.25,5,0,0,0,0,0,0,0.12,0,16689.29,0,0,9570.15,0,0.01,19
11,28.38,-22.63,21.71,28.3,328.5,4.75,0,0,0,0,0,0,0.61,0,94.98,0,0,0,0,0.58,65
12,28.88,-22.63,21.55,27.32,344.5,4.5,0,0,0,0,0,0,0.96,0,17650.07,3687.72,936.63,0,0,0.77,66
13,29.13,-22.63,20.67,26.28,406.5,6.5,0,0,0,0,0,0,0.96,0,2489.45,0,0,0,0,0.4,24
15,30.13,-22.63,22.28,25.7,527.25,11.75,0,0,0,0,0,0,0.96,0,1244.91,5371.29,6209.91,0,1661.51,21.02,347
16,30.38,-22.63,22.1,24.3,640.25,13,0,0,0,0,0,0,0.96,0,3375.25,2733.02,6209.91,0,1330.34,4.28,105
17,30.88,-22.63,22,22.67,693.5,18.25,0,0,0,0,0,0,0.96,0,2584.6,8135.99,0,0,4483.83,0,38
18,31.13,-22.63,23.61,24.38,535.25,13.75,0,0,0,0,0,0,0.96,0,1379.81,8135.99,0,0,0,0.18,45
19,29.38,-22.88,20.6,27,432.25,9.5,0,0,0,0,0,0,0.96,0,8743.11,993.15,6338.85,0,0,1.65,39
20,29.63,-22.88,20.99,25.6,436.25,9.5,0,0,0,0,0,0,0.96,0,7844.15,1195.03,181.55,0,0,3.81,54
21,29.88,-22.88,20.53,24.08,591.75,16.5,0,0,0,0,0,0,0.96,0,0,2155.18,4273.14,0,1011.66,0.73,55
23,30.38,-22.88,18.23,20.13,1490,84,0,0,0,0,0,0,0.96,0,210.07,2733.02,695.69,0,1330.34,1.28,66
24,30.63,-22.88,21.84,25.8,700.5,20.5,0,0,0,0,0,0,0.96,0,10515.04,790.67,7101.88,0,2405.33,194.6,31
25,31.13,-22.88,22.95,26.95,509.5,13.75,0,0,0,0,0,0,0.96,0,8304.47,8135.99,0,0,0,0.02,38
26,31.38,-22.88,23.11,26.9,479.25,13,0,0,0,0,0,0,0.81,0,2766.99,9887.24,0,1842.95,0,0.02,17
28,28.13,-23.13,21.44,27.35,438.25,7.5,0,0,0,0,0,0,0.96,0,4573.18,0,0,0,0,1,27
31,29.38,-23.13,19.87,27.12,546.5,15.5,0,0,0,0,0,0,0.96,0,0,1310.34,6338.85,0,6043.26,11.84,143
32,29.63,-23.13,20.03,28.25,581.25,19.5,0,0,0,0,0,0,0.96,0,6249.3,791.26,181.55,0,0,1.15,25
33,29.88,-23.13,19.56,26.87,685.75,28,0,0,0,0,0,0,0.96,0,0,713.37,1006.49,0,1060.28,18.09,54
34,30.13,-23.13,20.22,25.95,813.5,33.75,0,0,0,0,0,0,0.96,0,0,3528.13,259.24,0,361.81,3.39,151
35,30.38,-23.13,21.37,25.97,806.75,29.75,0,0,0,0,0,0,0.96,0,0,6803.63,2718.57,0,0,63.32,31
36,31.38,-23.13,23.15,28.1,443,13.5,0,0,0,0,0,0,0.96,0,9013.11,11978.28,0,5569.08,0,0.1,55
38,27.13,-23.38,21.32,32.27,410.75,7,0,0,0,0,0,0,0,0,2.47,33551.2,0,7884.35,0,0.49,11
40,29.38,-23.38,19.3,27.4,580.5,18,0,0,0,0,0,0,0.97,0,0,1310.34,6789.64,0,4095.03,1.21,21
42,31.63,-23.38,23.09,23.28,460.25,17,0,0,0,0,0,0,0.19,0,5279.47,0,0,6907.19,0,3.23,11
43,27.13,-23.63,21.32,32.27,410.75,7,0,0,0,0,0,0,0.69,0,83.24,12254.26,0,0,0,0.49,16
44,27.88,-23.63,21.22,29.17,467,9.5,0,0,0,0,0,0,0.97,0,3648.15,3944.46,15360.72,0,0,0.38,24
45,28.13,-23.63,20.99,29.78,475,11,0,0,0,0,0,0,0.97,0,3810.91,1027.1,22517.52,0,0,1.82,43
48,30.13,-23.63,20.47,25.02,770.5,34.25,0,0,0,0,0,0,0.97,0,0,741.28,5485.52,0,90.29,14.79,20
50,30.88,-23.63,22.38,25.9,518.5,15.5,0,0,0,0,0,0,0.97,0,2092.02,4756.19,10923.91,0,0,0,11
51,31.38,-23.63,22.38,24.3,503.5,17.25,0,0,0,0,0,0,0.97,0,3647.91,9008.53,0,0,0,0.11,31
52,27.88,-23.88,19.93,25.57,514,12,0,0,0,0,0,0,0.97,0,3648.15,3177.85,0,0,0,0.37,31
53,28.13,-23.88,18.51,25.75,582,14,0,0,0,0,0,0,0.97,0,5748.39,2679.15,0,0,0,0.24,130
54,28.38,-23.88,18.81,27.2,553,13,0,0,0,0,0,0,0.97,0,2279.01,1308.2,10050.23,0,0,0.56,57
55,29.38,-23.88,18.12,26.53,601,17.75,0,0,0,0,0,0,0.97,0,408.46,3757.16,6881.98,4811.3,556.24,1.67,29
56,29.88,-23.88,15.89,23.85,1103,56.5,0,0,0,0,0,0,0.97,0,38.1,1692.65,441.07,0,150.3,86.22,241
57,30.13,-23.88,19.76,24.43,879,48.25,0,0,0,0,0,0,0.97,0,718.54,1873.24,3441.67,0,2266.55,51.23,85
58,30.38,-23.88,21.8,26.93,567,20,0,0,0,0,0,0,0.97,0,26.76,6842.81,12213.33,0,0,9.86,20
61,31.63,-23.88,23.28,24.73,487.75,17.5,0,0,0,0,0,0,0.94,0,4976.34,18.04,0,3286.4,0,0.11,137
64,27.13,-24.13,20.67,31.57,505,11,0,0,0,0,0,0,0.97,0,0,15573.9,0,0,0,0.62,88
65,27.63,-24.13,19.47,28.25,545.5,12,0,0,0,0,0,0,0.97,0,1943.36,10253.73,0,0,0,0.74,23
66,27.88,-24.13,19.29,29.33,551.25,13,0,0,0,0,0,0,0.97,0,1841.02,8723.7,688.89,0,0,0.61,54
67,28.13,-24.13,18.07,28.37,590,13.25,0,0,0,0,0,0,0.97,0,2445.38,1011.71,3256.67,0,0,0.61,130
68,28.38,-24.13,17.57,26.85,646,16,0,0,0,0,0,0,0.97,0,2893.27,6289.65,2793.39,0,0,0.52,39
69,28.63,-24.13,17.73,25.58,620.75,15.75,0,0,0,0,0,0,0.97,0,2960.53,3782.29,3297.86,0,0,0.74,15
70,28.88,-24.13,17.27,24.47,651.5,16.75,0,0,0,0,0,0,0.97,0,1786.52,10603.29,1813.55,0,272.32,2.23,31
74,29.88,-24.13,16.02,22.47,1020.75,47.75,0,0,0,0,0,0,0.97,0,38.1,4788.72,1157.54,0,973.35,0.38,11
75,30.13,-24.13,19.66,24.58,806,35.75,0,0,0,0,0,0,0.97,0,718.54,1512.05,543.15,0,1690.4,0.38,55
76,30.38,-24.13,21.09,25.52,687.25,26,0,0,0,0,0,0,0.97,0,26.76,4535.75,4177.37,0,3920.76,4.18,43
80,31.63,-24.13,22.86,25.35,508.5,21.25,0,0,0,0,0,0,0.97,0,1557.74,8425.93,0,0,0,0.07,59
81,31.88,-24.13,22.83,23.75,528,24.25,0,0,0,0,0,0,0.61,0,282.96,8808.65,0,3236.88,0,0.07,24
82,27.63,-24.38,18.39,25.38,633.25,17.25,0,0,0,0,0,0,0.97,0,1335.38,1590.51,2773.85,0,0,0.01,15
83,27.88,-24.38,17.67,27.17,645.25,16.75,0,0,0,0,0,0,0.97,0,1431.72,447.61,688.89,0,0,0.69,112
84,28.13,-24.38,18.45,28.18,600.5,15,0,0,0,0,0,0,0.97,0,2010.11,3266.02,3256.67,0,0,1.6,59
86,28.63,-24.38,18.41,28.9,597,13.25,0,0,0,0,0,0,0.97,0,1761.4,1707.3,10685.39,0,0,1.34,42
87,28.88,-24.38,19.16,27.6,555.5,13.75,0,0,0,0,0,0,0.97,0,1410.78,28978.75,6400.78,0,3270.31,1.02,176
89,30.63,-24.38,21.71,24.62,627.25,18,0,0,0,0,0,0,0.97,0,3730.2,0,4207.43,0,0,142.06,41
90,30.88,-24.38,21.9,25.6,659.75,19.75,0,0,0,0,0,0,0.97,0,2523.3,1722.39,4438.68,0,0,10,59
91,31.13,-24.38,22.24,24.18,674.75,22.75,0,0,0,0,0,0,0.97,0,4266.35,4339.07,0,0,0,1.14,14
93,31.63,-24.38,21.84,23.73,598.75,25.75,0,0,0,0,0,0,0.97,0,9360.65,0,0,0,0,0.07,16
94,31.88,-24.38,22.58,25.6,540.5,27.75,0,0,0,0,0,0,0.94,0,749.55,0,0,0,0,0.07,31
97,27.88,-24.63,18.92,29.6,589.5,17,0,0,0,0,0,0,0.97,0,1579.6,6290.91,2492.42,0,1678.93,0.31,11
98,28.13,-24.63,17.72,28.08,644.25,16,0,0,0,0,0,0,0.97,0,383.57,1009.28,7805.37,0,1095.8,2.52,35
99,28.38,-24.63,17.6,26.55,650.75,14.25,0,0,0,0,0,0,0.97,0,418.68,1061.63,662.55,0,0,1.6,628
100,28.63,-24.63,18.68,28.47,588.75,11.25,0,0,0,0,0,0,0.97,0,2178.86,6739.5,6771.71,0,0,1.35,402
101,28.88,-24.63,19.68,30.9,550,14,0,0,0,0,0,0,0.97,0,4929.6,3130.1,0,0,6276.64,2.13,203
105,30.63,-24.63,19.19,25.15,830,28.75,0,0,0,0,0,0,0.69,0,313.78,0,3307.25,0,128.35,2.08,37
106,30.88,-24.63,14.48,17.4,1163.75,60,0,0,0,0,0,0,0.51,0,4496.51,1472.81,3307.25,0,0,0.28,148
107,31.13,-24.63,21.46,22.85,792.75,30,0,0,0,0,0,0,0.97,0,5896.92,6574.8,123.3,4003.63,1617.92,705.04,22
112,27.38,-24.88,20.31,32.88,638.75,19.25,0,0,0,0,0,0,0.98,0,0,27000,12464.82,0,0,0.53,32
113,27.63,-24.88,18.34,26.13,646.5,19.25,0,0,0,0,0,0,0.98,0,2042.24,3983.84,0,4133.31,3515.73,1.13,11
114,28.13,-24.88,18.83,27.93,615.75,15.25,0,0,0,0,0,0,0.98,0,198.61,1357.06,415.68,0,5733.53,10.23,95
115,28.38,-24.88,18.7,28.75,616.5,11.25,0,0,0,0,0,0,0.98,0,0,230.21,6403.46,0,0,11.32,43
116,28.88,-24.88,19.75,31.17,569,12.75,0,0,0,0,0,0,0.98,0,496.42,2812.06,12859.29,0,3859.2,1.51,11
117,29.38,-24.88,20.28,29.88,544.75,13.75,0,0,0,0,0,0,0.98,0,1744.08,839.11,2397.64,5594.89,1390.41,0.51,50
120,30.63,-24.88,15.61,22.72,928,37.5,0,0,0,0,0,0,0.08,0,1219.47,69.15,3047.34,0,2613.98,0.52,72
121,30.88,-24.88,14.83,17.88,1053.25,48.75,0,0,0,0,0,0,0.33,0,9504.52,1472.81,1250.73,0,85.46,1.1,144
123,31.38,-24.88,21.51,23.33,671,31.75,0,0,0,0,0,0,0.98,0,11460.39,5036.87,1880.69,4003.63,1191.81,1288.98,67
124,31.63,-24.88,21.76,24.48,628,28.25,0,0,0,0,0,0,0.98,0,7271.75,5663.14,0,0,5293.13,0.07,117
125,31.88,-24.88,21.92,23.17,628,29.75,0,0,0,0,0,0,0.98,0,946.96,0,0,0,577.74,0.07,118
132,29.38,-25.13,20.07,28.57,607.5,14.75,0,0,0,0,0,0,0.98,0,1744.08,2065.92,5091.92,0,961.44,119.5,13
133,30.13,-25.13,16.95,24.7,699.25,22,0,0,0,0,0,0,0.23,0,3771.79,1552.29,0,0,360.79,2.05,21
134,30.38,-25.13,15.6,25.82,776,27.25,0,0,0,0,0,0,0,0,1972.9,1291.13,0,0,502.87,1.95,91
135,30.63,-25.13,12.26,17.02,1093.5,52,0,0,0,0,0,0,0.05,0,251.31,69.15,0,0,267.97,3.17,38
136,30.88,-25.13,15.65,18.35,980.5,42.75,0,0,0,0,0,0,0.36,0,2034.43,69.26,1250.73,0,85.46,6.44,282
137,31.13,-25.13,20.28,24.2,808,39.75,0,0,0,0,0,0,0.98,0,5334.12,2477.19,267.94,0,148.92,1354.93,153
139,31.63,-25.13,21.84,24.22,624,28,0,0,0,0,0,0,0.98,0,4733.3,13633.63,14163.11,0,1064.33,0.07,11
140,31.88,-25.13,22.39,23,608,26.75,0,0,0,0,0,0,0.98,0,8179.38,0,0,0,577.74,0.07,71
144,28.13,-25.38,19.47,29.6,578.5,16,0,0,0,0,0,0,0.98,0,0,7841.55,15437.75,6582.51,0,94.57,32
145,28.38,-25.38,19.12,29.05,586,15.25,0,0,0,0,0,0,0.98,0,0,24702.34,15437.75,4159.69,2580.11,0.87,21
147,29.13,-25.38,18.47,25.33,658,16,0,0,0,0,0,0,0.98,0,250.42,4984.96,5049.27,0,0,0.82,36
148,29.38,-25.38,20.52,28.58,633,15.25,0,0,0,0,0,0,0.98,0,1494.35,5979.9,11926.96,0,2458.22,11.33,80
149,29.88,-25.38,16.35,26.05,716.25,23.5,0,0,0,0,0,0,0,0,2993.68,1437.89,0,0,2047.62,1.01,34
150,30.13,-25.38,12.29,19.67,933.75,42.75,0,0,0,0,0,0,0,0,4258.04,2970.95,0,0,651.32,1.54,89
151,30.38,-25.38,17.52,25.5,714.5,23,0,0,0,0,0,0,0.07,0,1583.36,2970.95,528.8,0,218.71,11.23,70
152,30.63,-25.38,17.06,21.25,836.5,30.25,0,0,0,0,0,0,0.5,0,1286.71,3050.9,0,0,2106.63,3.78,84
153,30.88,-25.38,19.12,25.25,811.5,31,0,0,0,0,0,0,0.74,0,2598.12,1457.57,0,0,2083.56,7.5,285
154,31.13,-25.38,20.51,24.75,777,35.25,0,0,0,0,0,0,0.98,0,895.34,7617.42,10115.44,0,0,148.55,23
156,31.63,-25.38,21.76,23.43,618.5,26.25,0,0,0,0,0,0,0.98,0,6082.75,13633.63,14163.11,0,2722.85,0.07,108
157,31.88,-25.38,22.7,23.87,617,25.25,0,0,0,0,0,0,0.96,0,5026.88,13633.63,14163.11,0,1550.92,9.95,211
159,27.13,-25.63,18.13,27.22,676.25,20.25,0,0,0,0,0,0,0.98,0,330.63,5338.46,7041.56,0,0,13.85,82
161,27.88,-25.63,18.9,28.83,629,16,0,0,0,0,0,0,0.98,0,0,3486.33,5280.42,0,3231.16,2.89,56
162,28.13,-25.63,18.39,28.95,654.5,13.75,0,0,0,0,0,0,0.98,0,0,691.85,5094.84,0,1317.87,16.54,81
163,28.38,-25.63,18.56,28.3,643.5,15.75,0,0,0,0,0,0,0.98,0,0,9284.04,1350.85,4159.69,0,75.37,46
164,28.63,-25.63,17.69,27.7,671.25,16,0,0,0,0,0,0,0.62,0,0,7900.59,1286.08,0,1610.91,11.13,78
165,28.88,-25.63,17.38,26.53,656.25,16,0,0,0,0,0,0,0.51,0,0,3091.1,521.25,0,3132.43,8.9,300
166,29.38,-25.63,16.68,26.35,669.5,16,0,0,0,0,0,0,0.1,0,1105.07,4094.54,285.53,0,1272.43,2.85,18
168,30.13,-25.63,14.16,24.6,842.5,39.25,0,0,0,0,0,0,0,0,3205.76,2604.6,0,0,651.32,0.5,102
169,30.38,-25.63,15.35,22.12,837.25,32,0,0,0,0,0,0,0,0,61.54,4183.75,528.8,0,907.98,1.39,11
170,30.63,-25.63,15.92,20.8,917.5,34.5,0,0,0,0,0,0,0.15,0,3336.98,101.07,734.43,0,83.04,1.82,13
171,30.88,-25.63,18.85,25.75,817,28.75,0,0,0,0,0,0,0.87,0,328.95,524.01,0,0,0,6.79,29
172,31.13,-25.63,19.34,22.47,816.75,31,0,0,0,0,0,0,0.94,0,895.34,5445.55,0,0,86.53,5.93,94
173,31.38,-25.63,19.19,20.97,933.5,40.5,0,0,0,0,0,0,0.75,0,0,3147.11,0,0,858.06,15.35,108
177,27.38,-25.88,17.17,27.35,674.25,18,0,0,0,0,0,0,0.92,0,2410.83,2556.33,4236.7,0,2487.02,5.84,151
178,27.63,-25.88,17.82,30,659,16,0,0,0,0,0,0,0.91,0,1066.38,5147.02,1620.37,0,0,10.18,17
179,27.88,-25.88,17.4,27.52,697,14,0,0,0,0,0,0,0.31,0,2169.82,11905.7,2858.08,671.21,0,20.22,167
180,28.13,-25.88,17.37,26.83,717.5,15,0,0,0,0,0,0,0.17,0,0,5307.55,681,815.37,1037.53,1895.11,184
181,28.38,-25.88,16.25,27.1,714,16,0,0,0,0,0,0,0.46,0,0,7121.48,2467.31,0,5934.48,41.59,318
182,28.63,-25.88,16.3,28.67,710.25,18,0,0,0,0,0,0,0.08,0,0,2329.74,1753.8,0,5934.48,4.05,60
184,29.38,-25.88,15.87,28.18,661,17,0,0,0,0,0,0,0,0,0,80.79,5955.42,0,1272.43,20.24,19
186,30.13,-25.88,15.07,25.17,771.75,30.25,0,0,0,0,0,0,0,0,1077.48,2604.6,0,0,864.85,2.3,11
187,30.38,-25.88,15.04,20.95,874,34.25,0,0,0,0,0,0,0,0,1776.16,4183.75,0,0,9.54,1.43,33
188,30.63,-25.88,18.84,26.93,820.25,28,0,0,0,0,0,0,0.34,0,142.15,101.07,1787.75,0,111.98,7.08,131
189,30.88,-25.88,16.58,20.45,1024,41.25,0,0,0,0,0,0,0.41,0,328.95,1187.96,0,0,1019.58,2.78,120
190,31.13,-25.88,16.98,19,1087.75,46.75,0,0,0,0,0,0,0.19,0,707.51,2073.83,0,0,86.53,2.86,76
192,20.38,-26.13,20.11,34.8,210.5,5,0,0,0,0,0,0,0.99,0,7774.87,0,0,0,0,0.04,13
196,27.88,-26.13,15.98,24.82,722.75,17.75,0,0,0,0,0,0,0.12,0,0,0,4075.48,671.21,2081.97,1420.27,257
197,28.13,-26.13,16.23,25.65,730,16.25,0,0,0,0,0,0,0.02,0,0,0,2859.2,815.37,1037.53,1376.07,142
198,28.38,-26.13,15.67,27.7,735.75,18,0,0,0,0,0,0,0,0,0,2630.07,5459.9,10927.95,5934.48,1942.82,13
199,30.13,-26.13,14.8,27.2,769.75,27,0,0,0,0,0,0,0,0,1735,3757.08,0,0,864.85,3.46,24
200,30.38,-26.13,14.67,22.2,869.75,31.25,0,0,0,0,0,0,0,0,7181.18,1215.45,0,0,4740.8,1.86,18
202,30.88,-26.13,18.14,22.82,1099,45,0,0,0,0,0,0,0.3,0,554.01,5955.24,0,0,7404.69,2.04,55
211,30.63,-26.38,14.5,22.72,954.75,35,0,0,0,0,0,0,0,0,8215.23,1668.62,1761.35,0,4003.47,4.24,44
212,25.63,-26.63,17.56,30.58,562.75,15.5,0,0,0,0,0,0,0.02,0,0,9426.75,18290.9,0,0,4.21,38
217,27.38,-26.63,16.7,32.77,635.75,20,0,0,0,0,0,0,0.08,0,0,8785.81,4121.59,0,2482.15,3.15,19
218,27.88,-26.63,16.55,29.07,644.5,19.5,0,0,0,0,0,0,0,0,0,6444.02,4058.68,0,1888.91,150.4,23
219,28.13,-26.63,15.75,30.12,658.25,21.25,0,0,0,0,0,0,0.17,0,0,9195.06,10368.74,0,3665.74,6.01,18
220,28.38,-26.63,15.83,29,670,22,0,0,0,0,0,0,0.25,0,0,3621.09,9382.54,0,1175.37,4.72,26
221,28.88,-26.63,15.16,28.7,689.5,25,0,0,0,0,0,0,0.02,0,714.34,6749.71,15296.41,0,636.22,3.75,24
223,30.63,-26.63,16.77,26.8,905.25,33.75,0,0,0,0,0,0,0,0,2361.58,8349.85,1761.35,1933.25,1478.3,4.98,83
224,30.88,-26.63,15.98,21.15,1025.5,42.75,0,0,0,0,0,0,0.1,0,318.15,462.43,4525.77,1954.3,1649.12,18.29,14
231,28.13,-26.88,15.83,24.27,642.5,23.25,0,0,0,0,0,0,0.29,0,0,9195.06,21846.98,0,2948.14,4.63,20
232,30.13,-26.88,14.49,28.18,776.25,30,0,0,0,0,0,0,0,0,25632.61,8478.82,23607.23,0,1606.24,1.56,30
233,30.38,-26.88,15.49,26.18,831.25,31.25,0,0,0,0,0,0,0,0,3255.81,8694.47,13676,0,2316.15,12.02,12
234,30.63,-26.88,15.79,24.33,892.5,35,0,0,0,0,0,0,0,0,1090.54,0,13676,0,3117.3,7.43,13
237,32.13,-26.88,21.67,21.95,639,32.75,0,0,0,0,0,0,0.83,0,5460.19,45248.53,0,0,778.21,1.72,82
238,32.38,-26.88,22.72,23.1,648,38.25,0,0,0,0,0,0,0.55,0,15573.51,19249.09,0,30145.58,0,0,115
240,32.88,-26.88,22.51,16.57,833.5,92.75,0,0.26,0,0,0,0,0.01,0,12373.98,0,0,0,0,43.36,358
245,30.13,-27.13,14.4,26.22,757.5,30.5,0,0,0,0,0,0,0,0,9709.07,0,0,0,8319.37,2.59,219
246,30.38,-27.13,16.44,27.52,830.5,34,0,0,0,0,0,0,0,0,842.8,0,13676,0,1391.45,8.69,16
247,30.88,-27.13,16.93,25.22,885.25,40.75,0,0,0,0,0,0,0,0,8376.94,0,10720.28,0,999.34,12.02,33
248,31.13,-27.13,17.99,24,821.5,44,0,0,0,0,0,0,0.02,0,181.18,1511.63,3416.9,0,445.59,141.72,23
252,32.63,-27.13,22.02,19.53,788.5,69.25,0,0.97,0,0,0,0,0,0,8840.81,0,0,0,0,1.78,12
259,29.88,-27.38,14.76,26.55,793.75,35.5,0,0,0,0,0,0,0,0,1837.52,18191.88,0,0,0,652.61,82
260,30.13,-27.38,14,25.98,764.25,33,0,0,0,0,0,0,0,0,4971.94,7133.01,0,0,54.36,58.56,111
262,30.63,-27.38,17.11,26.83,883.25,37.25,0,0,0,0,0,0,0,0,1394.1,0,0,0,311.79,30.49,12
263,30.88,-27.38,17.43,24.17,900.5,41.25,0,0,0,0,0,0,0.07,0,8376.94,77.49,0,0,743.94,3.89,24
264,31.38,-27.38,19.72,20.85,751,43.25,0,0,0,0,0,0,0.54,0,4356.85,3195.09,0,0,26.11,12.27,64
265,31.63,-27.38,21.25,24.63,665,45.5,0,0,0,0,0,0,1,0,156.42,9076.25,2665.97,0,1015.34,334.15,18
266,31.88,-27.38,22.16,24.15,597,41,0,0,0,0,0,0,1,0,73.27,9076.25,2439.49,0,4317.33,7.39,14
268,32.38,-27.38,21.98,21.58,704.25,52.5,0,0.3,0,0,0,0,0.69,0,7333.7,19775.16,0,0,0,12.99,16
269,32.63,-27.38,22.23,18.45,768,74,0,0.87,0,0,0,0,0.01,0,4148.25,0,0,0,0,10.67,17
273,30.13,-27.63,17.2,26.23,786.75,32,0,0,0,0,0,0,0,0,71.79,3282.61,15414.45,0,54.36,4.37,47
274,30.38,-27.63,16.25,24.18,817.5,36.75,0,0,0,0,0,0,0,0,1176.86,0,0,0,625.91,7.4,35
275,30.63,-27.63,15.97,24.92,888.75,42.75,0,0,0,0,0,0,0,0,5131.59,1427.78,0,0,99.38,11.01,16
277,31.13,-27.63,17.42,24.05,841.75,44.25,0,0,0,0,0,0,0.14,0,10339.86,3396.07,0,1980.75,1413.16,18.39,21
